title,brand,list_price,price,stock,url,branch_id,category,subcategory
PALITOS DE POLLO SWIFT X 1 Kg,Swift,,4201.0,In stock,https://www.hiperlibertad.com.ar/palitos-de-pollo-swift-x-1-kg/p,12,congelados,prefritos-congelados
Bocaditos De Pollo Rebozados Swift X 760 Gr,Swift,,3446.0,In stock,https://www.hiperlibertad.com.ar/bocaditos-de-pollo-rebozados-swift-x-760-gr/p,12,congelados,prefritos-congelados
Formitas de Pollo Lucchetti Cong 350 grs,Lucchetti,,1087.0,In stock,https://www.hiperlibertad.com.ar/formitas-de-pollo-lucchetti-cong-350-grs/p,12,congelados,prefritos-congelados
Patynesa Flow pack Cong 2 un,Paty,,775.0,In stock,https://www.hiperlibertad.com.ar/patynesa-flow-pack-cong-2-un/p,12,congelados,prefritos-congelados
Bocaditos De Carne Swift 380 G,Swift,,1176.0,In stock,https://www.hiperlibertad.com.ar/bocaditos-de-carne-swift-380-g/p,12,congelados,prefritos-congelados
"BOCADITOS DE POLLO LA BLANCA X 1,5 Kg",La blanca,,5043.0,In stock,https://www.hiperlibertad.com.ar/bocaditos-de-pollo-la-blanca-x-1-5-kg/p,12,congelados,prefritos-congelados
Bocaditos de pollo Swift Cong 380 grs,Swift,,1333.0,In stock,https://www.hiperlibertad.com.ar/bocaditos-de-pollo-swift-cong-380-grs/p,12,congelados,prefritos-congelados
NUGGETS DE POLLO GRANJA DEL SOL X 900 Gr,Granja del sol,,5898.0,In stock,https://www.hiperlibertad.com.ar/nuggets-de-pollo-granja-del-sol-x-900-gr/p,12,congelados,prefritos-congelados
Palitos de pollo Swift Cong 260 grs,Swift,,922.0,In stock,https://www.hiperlibertad.com.ar/palitos-de-pollo-swift-cong-260-grs/p,12,congelados,prefritos-congelados
Medallon de pollo Swift Cong 4 un,Swift,,962.0,In stock,https://www.hiperlibertad.com.ar/medallon-de-pollo-swift-cong-4-un/p,12,congelados,prefritos-congelados
MEDALLÓN NOTCHICKEN® BURGER 2 X 200 GR,Not Company,,1681.0,In stock,https://www.hiperlibertad.com.ar/medall-n-notchicken-burger-2-x-200-gr/p,12,congelados,prefritos-congelados
Choclo en Granos Granja del sol Cong 300 grs,Granja del sol,820.0,505.4,In Stock,https://www.hiperlibertad.com.ar/choclo-en-granos-granja-del-sol-cong-300-grs/p,12,congelados,verduras-congeladas
Choclo Amarillo en Granos Green Life Cong 300 grs,Green Life,,632.0,In Stock,https://www.hiperlibertad.com.ar/choclo-amarillo-en-granos-green-life-cong-300-grs/p,12,congelados,verduras-congeladas
